Dataset,"Availability (public=0, private = 1)","Screening_fulltext (0=include, 1=exclude, 2 = duplicate, 3=no access to article)","Exclude (0=include, 1=exclude, 2 = duplicate)",,id,doi,title,display_name,publication_year,publication_date,type,authorships
JSRT,"0,1",0,0,1128,https://openalex.org/W2248685577,https://doi.org/10.1109/elecsym.2015.7380815,Abnormality detection for infection and fluid cases in chest radiograph,Abnormality detection for infection and fluid cases in chest radiograph,2015,2015-09-01,proceedings-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2169940730', 'display_name': 'Wan Fatimah Wan Ahmad', 'orcid': 'https://orcid.org/0000-0001-5843-4424'}, 'institutions': [{'id': 'https://openalex.org/I173029219', 'display_name': 'Multimedia University', 'ror': 'https://ror.org/04zrbnc33', 'country_code': 'MY', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Faculty of Engineering, Multimedia University, Cyberjaya, Malaysia'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2145612136', 'display_name': 'Mohammad Faizal Ahmad Fauzi', 'orcid': 'https://orcid.org/0000-0001-5382-6269'}, 'institutions': [{'id': 'https://openalex.org/I173029219', 'display_name': 'Multimedia University', 'ror': 'https://ror.org/04zrbnc33', 'country_code': 'MY', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Faculty of Engineering, Multimedia University, Cyberjaya, Malaysia'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A1990708847', 'display_name': 'Wan Mimi Diyana Wan Zaki', 'orcid': 'https://orcid.org/0000-0001-5808-4348'}, 'institutions': [{'id': 'https://openalex.org/I885383172', 'display_name': 'National University of Malaysia', 'ror': 'https://ror.org/00bw8d226', 'country_code': 'MY', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '(Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, Malaysia)'}]"
,,1,0,1264,https://openalex.org/W4246666541,https://doi.org/10.1016/j.jaad.2005.11.689,Abstracts Pt.38,Abstracts Pt.38,2006,2006-03-01,journal-article,[]
,1,1,0,460,https://openalex.org/W2801168973,https://doi.org/10.5588/ijtld.17.0492,Accuracy of an automated system for tuberculosis detection on chest radiographs in high-risk screening,Accuracy of an automated system for tuberculosis detection on chest radiographs in high-risk screening,2018,2018-05-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2138448814', 'display_name': 'Jaime Melendez', 'orcid': 'https://orcid.org/0000-0003-1066-9536'}, 'institutions': [{'id': 'https://openalex.org/I145872427', 'display_name': 'Radboud University Nijmegen', 'ror': 'https://ror.org/016xsfp80', 'country_code': 'NL', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Diagnostic Image Analysis Group, Radboud University Medical Center, Nijmegen, Thirona, Nijmegen, The Netherlands.'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2058390661', 'display_name': 'Laurens Hogeweg', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I145872427', 'display_name': 'Radboud University Nijmegen', 'ror': 'https://ror.org/016xsfp80', 'country_code': 'NL', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Diagnostic Image Analysis Group, Radboud University Medical Center Nijmegen, The Netherlands'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2892708938', 'display_name': 'Carlos Sánchez', 'orcid': 'https://orcid.org/0000-0001-9816-4537'}, 'institutions': [{'id': 'https://openalex.org/I145872427', 'display_name': 'Radboud University Nijmegen', 'ror': 'https://ror.org/016xsfp80', 'country_code': 'NL', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Diagnostic Image Analysis Group, Radboud University Medical Center Nijmegen, The Netherlands'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2109921536', 'display_name': 'Rick H. H. M. Philipsen', 'orcid': 'https://orcid.org/0000-0002-8259-9197'}, 'institutions': [{'id': 'https://openalex.org/I145872427', 'display_name': 'Radboud University Nijmegen', 'ror': 'https://ror.org/016xsfp80', 'country_code': 'NL', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Diagnostic Image Analysis Group, Radboud University Medical Center, Nijmegen, The Netherlands; Thirona, Nijmegen, The Netherlands.'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2200313646', 'display_name': 'Robert W Aldridge', 'orcid': 'https://orcid.org/0000-0003-0542-0816'}, 'institutions': [{'id': 'https://openalex.org/I45129253', 'display_name': 'University College London', 'ror': 'https://ror.org/02jx3x895', 'country_code': 'GB', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Infectious Disease Informatics, Institute of Health Informatics, University College London, London, UK'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2163335789', 'display_name': 'Andrew Hayward', 'orcid': 'https://orcid.org/0000-0002-3549-6232'}, 'institutions': [{'id': 'https://openalex.org/I45129253', 'display_name': 'University College London', 'ror': 'https://ror.org/02jx3x895', 'country_code': 'GB', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Infectious Disease Informatics, Institute of Health Informatics, University College London, London, UK; Institute of Epidemiology and Health Care, University College London, UK'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2175623504', 'display_name': 'Ibrahim Abubakar', 'orcid': 'https://orcid.org/0000-0002-0370-1430'}, 'institutions': [{'id': 'https://openalex.org/I73100920', 'display_name': 'UCL Institute for Global Health', 'ror': None, 'country_code': 'GB', 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Institute for Global Health University College London UK'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2171266533', 'display_name': 'B. van Ginneken', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I145872427', 'display_name': 'Radboud University Nijmegen', 'ror': 'https://ror.org/016xsfp80', 'country_code': 'NL', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Diagnostic Image Analysis Group, Radboud University Medical Center, Nijmegen, The Netherlands; Thirona, Nijmegen, The Netherlands.'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2266434695', 'display_name': 'Alistair Story', 'orcid': 'https://orcid.org/0000-0003-3853-1715'}, 'institutions': [{'id': 'https://openalex.org/I45129253', 'display_name': 'University College London', 'ror': 'https://ror.org/02jx3x895', 'country_code': 'GB', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Infectious Disease Informatics, Institute of Health Informatics, University College London, London, UK'}]"
,,3,0,866,https://openalex.org/W2052763536,https://doi.org/10.1213/ane.0b013e3181d31ebd,Accuracy of Preoperative Electrocardiographic and Chest Radiographic Screening for Prediction of Left Ventricular Dysfunction in Patients with Suspected Neuromuscular Disorders,Accuracy of Preoperative Electrocardiographic and Chest Radiographic Screening for Prediction of Left Ventricular Dysfunction in Patients with Suspected Neuromuscular Disorders,2010,2010-04-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A841886683', 'display_name': 'David J. Clendenin', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I1288882113', 'display_name': ""Boston Children's Hospital"", 'ror': 'https://ror.org/00dvg7y05', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""Department of Anesthesiology, Perioperative and Pain Medicine, Children's Hospital Boston, Harvard Medical School, Boston, MA 02115, USA. david.clendenin@childrens.harvard.edu""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A1979307215', 'display_name': 'Umeshkumar Athiraman', 'orcid': 'https://orcid.org/0000-0002-9086-0607'}, 'institutions': [{'id': None, 'display_name': 'Harvard University ,', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Harvard University ,'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2146690177', 'display_name': 'David Zurakowski', 'orcid': 'https://orcid.org/0000-0003-3610-6942'}, 'institutions': [{'id': None, 'display_name': 'Harvard University ,', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Harvard University ,'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2502193324', 'display_name': 'Frederic Shapiro', 'orcid': None}, 'institutions': [{'id': None, 'display_name': 'Harvard University ,', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Harvard University ,'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2107224905', 'display_name': 'Navil F. Sethna', 'orcid': 'https://orcid.org/0000-0003-2200-9826'}, 'institutions': [{'id': None, 'display_name': 'Harvard University ,', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Harvard University ,'}]"
,1,1,0,219,https://openalex.org/W1979886172,https://doi.org/10.1016/j.ajem.2009.07.011,Accuracy of radiographic readings in the emergency department,Accuracy of radiographic readings in the emergency department,2011,2011-01-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2176454446', 'display_name': 'Bruno P. Petinaux', 'orcid': 'https://orcid.org/0000-0003-4707-3306'}, 'institutions': [{'id': 'https://openalex.org/I193531525', 'display_name': 'George Washington University', 'ror': 'https://ror.org/00y4zzh67', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Emergency Medicine, George Washington University, Washington, DC 20037, USA.'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2319335148', 'display_name': 'Rahul Bhat', 'orcid': 'https://orcid.org/0000-0001-6572-1851'}, 'institutions': [{'id': 'https://openalex.org/I184565670', 'display_name': 'Georgetown University', 'ror': 'https://ror.org/05vzafd60', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Emergency Medicine, Georgetown University, Washington, DC 20007, USA'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A1783256322', 'display_name': 'Keith S. Boniface', 'orcid': 'https://orcid.org/0000-0002-1638-2539'}, 'institutions': [{'id': 'https://openalex.org/I193531525', 'display_name': 'George Washington University', 'ror': 'https://ror.org/00y4zzh67', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Emergency Medicine, George Washington University, Washington, DC 20037, USA.'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2696947450', 'display_name': 'Jaime Aristizabal', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I193531525', 'display_name': 'George Washington University', 'ror': 'https://ror.org/00y4zzh67', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Emergency Medicine, George Washington University, Washington, DC 20037, USA.'}]"
,,3,0,126,https://openalex.org/W2592292692,https://doi.org/10.1117/12.2254526,Accurate segmentation of lung fields on chest radiographs using deep convolutional networks,Accurate segmentation of lung fields on chest radiographs using deep convolutional networks,2017,2017-02-24,proceedings-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2290900687', 'display_name': 'Mohammad R. Arbabshirani', 'orcid': 'https://orcid.org/0000-0002-3018-5400'}, 'institutions': [{'id': 'https://openalex.org/I54713919', 'display_name': 'Geisinger Health System', 'ror': 'https://ror.org/02qdbgx97', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Geisinger Health System, United States'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2345410768', 'display_name': 'Ahmed H. Dallal', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I54713919', 'display_name': 'Geisinger Health System', 'ror': 'https://ror.org/02qdbgx97', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Geisinger Health System, United States'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2617875624', 'display_name': 'Chirag Agarwal', 'orcid': 'https://orcid.org/0000-0002-6354-7260'}, 'institutions': [{'id': 'https://openalex.org/I54713919', 'display_name': 'Geisinger Health System', 'ror': 'https://ror.org/02qdbgx97', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Geisinger Health System, United States'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2750876270', 'display_name': 'Aalpan Patel', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I54713919', 'display_name': 'Geisinger Health System', 'ror': 'https://ror.org/02qdbgx97', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Geisinger Health System, United States'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2156817986', 'display_name': 'Gregory W. Moore', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I54713919', 'display_name': 'Geisinger Health System', 'ror': 'https://ror.org/02qdbgx97', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Geisinger Health System, United States'}]"
,,1,0,602,https://openalex.org/W2611192977,https://doi.org/10.1016/j.jacr.2017.01.040,ACR Appropriateness Criteria® Suspected Pulmonary Hypertension,ACR Appropriateness Criteria® Suspected Pulmonary Hypertension,2017,2017-05-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2947367371', 'display_name': 'Expert Panel on Neurological Imaging', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I138006243', 'display_name': 'University of Arizona', 'ror': 'https://ror.org/03m2x1q45', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Principal Author, University of Arizona, Tucson, Arizona'}]"
,,1,0,1412,https://openalex.org/W2794978758,https://doi.org/10.1007/978-3-319-67066-9_18,Acute Chest Infections in Adults and Children: Evidence-Based Emergency Imaging,Acute Chest Infections in Adults and Children: Evidence-Based Emergency Imaging,2018,2018-01-01,book-chapter,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2170745701', 'display_name': 'Sjirk J. Westra', 'orcid': 'https://orcid.org/0000-0002-9952-6891'}, 'institutions': [{'id': 'https://openalex.org/I4210087915', 'display_name': 'Massachusetts General Hospital', 'ror': 'https://ror.org/002pd6e78', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Massachusetts General Hospital, Harvard Medical School'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2474337848', 'display_name': 'Clinton Jokerst', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I4210125099', 'display_name': 'Mayo Clinic', 'ror': 'https://ror.org/03jp40720', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Mayo clinic Arizona'}]"
,,1,0,619,https://openalex.org/W2576637940,https://doi.org/10.1136/thoraxjnl-2016-209405,Adults miscoded and misdiagnosed as having pneumonia: results from the British Thoracic Society pneumonia audit,Adults miscoded and misdiagnosed as having pneumonia: results from the British Thoracic Society pneumonia audit,2017,2017-01-20,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2200074040', 'display_name': 'Priya Daniel', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I1334287468', 'display_name': 'Nottingham University Hospitals NHS Trust', 'ror': 'https://ror.org/05y3qh794', 'country_code': 'GB', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Nottingham University Hospitals NHS Trust'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A1860238146', 'display_name': 'Thomas Bewick', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I2801352912', 'display_name': 'Derby Hospitals NHS Foundation Trust', 'ror': None, 'country_code': 'GB', 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Derby Teaching Hospitals NHS Foundation Trust;'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2121367503', 'display_name': 'Sally Welham', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I2801256334', 'display_name': 'British Thoracic Society', 'ror': 'https://ror.org/04e6gmj90', 'country_code': 'GB', 'type': 'nonprofit'}], 'is_corresponding': None, 'raw_affiliation_string': 'British Thoracic Society;'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2073234527', 'display_name': 'Tricia M. McKeever', 'orcid': 'https://orcid.org/0000-0003-0914-0416'}, 'institutions': [{'id': 'https://openalex.org/I142263535', 'display_name': 'University of Nottingham', 'ror': 'https://ror.org/01ee9ar58', 'country_code': 'GB', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': '\u2002University of Nottingham'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2159970611', 'display_name': 'Wei Meng Lim', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I1334287468', 'display_name': 'Nottingham University Hospitals NHS Trust', 'ror': 'https://ror.org/05y3qh794', 'country_code': 'GB', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Nottingham University Hospitals NHS Trust'}]"
"SH, MC","0,1",0,0,598,https://openalex.org/W2054260639,https://doi.org/10.5121/sipij.2014.5604,Advances in Automatic Tuberculosis Detection in Chest X-Ray Images,Advances in Automatic Tuberculosis Detection in Chest X-Ray Images,2014,2014-12-31,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2058826138', 'display_name': 'Wai Yan Nyein Naing', 'orcid': None}, 'institutions': [], 'is_corresponding': None, 'raw_affiliation_string': ''}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2019862027', 'display_name': 'Zaw Zaw Htike', 'orcid': None}, 'institutions': [], 'is_corresponding': None, 'raw_affiliation_string': ''}]"
,1,1,0,360,https://openalex.org/W2914420309,https://doi.org/10.1007/978-3-319-94878-2_20,"Advantages, Challenges, and Risks of Artificial Intelligence for Radiologists","Advantages, Challenges, and Risks of Artificial Intelligence for Radiologists",2019,2019-01-01,book-chapter,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2025428871', 'display_name': 'Erik Ranschaert', 'orcid': 'https://orcid.org/0000-0001-9375-9750'}, 'institutions': [{'id': None, 'display_name': 'ETZ Hospital', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'ETZ Hospital'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2515468631', 'display_name': 'Andre J. Duerinckx', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I137853757', 'display_name': 'Howard University', 'ror': 'https://ror.org/05gt1vc06', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Howard University College of Medicine and Howard University Hospital'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A1229430112', 'display_name': 'Paul R. Algra', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I4210101329', 'display_name': 'Northwest Hospital', 'ror': 'https://ror.org/01eycqy43', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Northwest Hospital Group'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2755697577', 'display_name': 'Elmar Kotter', 'orcid': 'https://orcid.org/0000-0001-9022-6000'}, 'institutions': [{'id': 'https://openalex.org/I2801240073', 'display_name': 'University Medical Center Freiburg', 'ror': 'https://ror.org/03vzbgh69', 'country_code': 'DE', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': 'Medical Center - University of Freiburg'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2751424733', 'display_name': 'Hans Kortman', 'orcid': 'https://orcid.org/0000-0002-4183-7881'}, 'institutions': [{'id': None, 'display_name': 'ETZ Hospital', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'ETZ Hospital'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2798173867', 'display_name': 'Sergey Morozov', 'orcid': 'https://orcid.org/0000-0001-6545-6170'}, 'institutions': [{'id': None, 'display_name': 'Radiology Research and Practical Centre', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': 'Radiology Research and Practical Centre'}]"
,,1,0,431,https://openalex.org/W2187808736,https://doi.org/10.1016/j.acra.2015.10.014,After Detection:,After Detection:,2016,2016-02-01,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2517372115', 'display_name': 'Guy J. Amir', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I145311948', 'display_name': 'Johns Hopkins University', 'ror': 'https://ror.org/00za53h95', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Division of Health Sciences Informatics, Johns Hopkins University, 2024 East Monument Street, Suite 1-200, Baltimore, MD 21205, USA'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2461937736', 'display_name': 'Harold P Lehmann', 'orcid': 'https://orcid.org/0000-0002-7698-219X'}, 'institutions': [{'id': 'https://openalex.org/I145311948', 'display_name': 'Johns Hopkins University', 'ror': 'https://ror.org/00za53h95', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Division of Health Sciences Informatics, Johns Hopkins University, 2024 East Monument Street, Suite 1-200, Baltimore, MD 21205, USA'}]"
,1,1,0,422,https://openalex.org/W2233947497,https://doi.org/10.1002/jhm.2534,Aggregate and hospital‐level impact of national guidelines on diagnostic resource utilization for children with pneumonia at children's hospitals,Aggregate and hospital‐level impact of national guidelines on diagnostic resource utilization for children with pneumonia at children's hospitals,2016,2016-01-13,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2921535649', 'display_name': 'Kavita Parikh', 'orcid': 'https://orcid.org/0000-0003-0622-1691'}, 'institutions': [{'id': 'https://openalex.org/I1336742384', 'display_name': 'Children’s National Health System', 'ror': 'https://ror.org/03wa2q724', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""Division of Hospitalist Medicine, Department of Pediatrics, Children's National Medical Center and George Washington School of Medicine, Washington, DC""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2149284784', 'display_name': 'Matthew Hall', 'orcid': 'https://orcid.org/0000-0001-7778-5887'}, 'institutions': [{'id': 'https://openalex.org/I4210156367', 'display_name': ""Children's Hospital Association"", 'ror': 'https://ror.org/05avqph76', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': "".Children's Hospital Association,Overland Park,Kansas""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A1972622633', 'display_name': 'Anne J. Blaschke', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I223532165', 'display_name': 'University of Utah', 'ror': 'https://ror.org/03r0ha626', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Pediatrics; University of Utah School of Medicine; Salt Lake City Utah'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2133377570', 'display_name': 'Carlos G. Grijalva', 'orcid': 'https://orcid.org/0000-0002-2329-7797'}, 'institutions': [{'id': 'https://openalex.org/I200719446', 'display_name': 'Vanderbilt University', 'ror': 'https://ror.org/02vm5rt34', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Health Policy, Vanderbilt University School of Medicine, Nashville, Tennessee.'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2083846133', 'display_name': 'Thomas V. Brogan', 'orcid': 'https://orcid.org/0000-0001-8315-8337'}, 'institutions': [{'id': 'https://openalex.org/I201448701', 'display_name': 'University of Washington', 'ror': 'https://ror.org/00cvxb145', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Pediatrics, University of Washington School of Medicine, Seattle, Washington.'}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2155609684', 'display_name': 'Mark I. Neuman', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I1288882113', 'display_name': ""Boston Children's Hospital"", 'ror': 'https://ror.org/00dvg7y05', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""Division of Emergency Medicine, Boston Children's Hospital, and Department of Pediatrics, Harvard Medical School, Boston, Massachusetts.""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2894323524', 'display_name': 'Derek J. Williams', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I1299406639', 'display_name': ""Monroe Carell Jr. Children's Hospital at Vanderbilt"", 'ror': None, 'country_code': 'US', 'type': None}], 'is_corresponding': None, 'raw_affiliation_string': ""Division of Hospital Medicine, Monroe Carell, Jr. Children's Hospital at Vanderbilt and the Department of Pediatrics, Vanderbilt University School of Medicine, Nashville, Tennessee""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2176106281', 'display_name': 'Jeffrey S. Gerber', 'orcid': 'https://orcid.org/0000-0002-3076-3186'}, 'institutions': [{'id': 'https://openalex.org/I1335321130', 'display_name': ""Children's Hospital of Philadelphia"", 'ror': 'https://ror.org/01z7r7q48', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""Division of Infectious Diseases, The Children's Hospital of Philadelphia and the Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania""}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2241343082', 'display_name': 'Adam L. Hersh', 'orcid': 'https://orcid.org/0000-0002-0148-046X'}, 'institutions': [{'id': 'https://openalex.org/I223532165', 'display_name': 'University of Utah', 'ror': 'https://ror.org/03r0ha626', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': None, 'raw_affiliation_string': 'Department of Pediatrics; University of Utah School of Medicine; Salt Lake City Utah'}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2115114657', 'display_name': 'Samir S. Shah', 'orcid': 'https://orcid.org/0000-0001-7902-7000'}, 'institutions': [{'id': 'https://openalex.org/I1285204247', 'display_name': ""Cincinnati Children's Hospital Medical Center"", 'ror': 'https://ror.org/01hcyya48', 'country_code': 'US', 'type': 'healthcare'}], 'is_corresponding': None, 'raw_affiliation_string': ""Divisions of Hospital Medicine and Infectious Diseases, Cincinnati Children's Hospital Medical Center, and Department of Pediatrics, University of Cincinnati College of Medicine, Cincinnati, Ohio.""}]"
