Dataset,Release year,Samples,Version,Author,Source,Cite,Comment
BIMCV-COVID19+,2020,,,Vayá et al.,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/,"Maria de la Iglesia Vayá, Jose Manuel Saborit-Torres, Joaquim Angel Montell Serrano, Elena Oliver-Garcia, Antonio Pertusa, Aurelia Bustos, Miguel Cazorla, Joaquin Galant, Xavier Barber, Domingo Orozco-Beltrán, Francisco García-García, Marisa Caparrós, Germán González, Jose María Salinas, March 18, 2021, ""BIMCV COVID-19-: a large annotated dataset of RX and CT images from COVID-19 patients"", IEEE Dataport, doi: https://dx.doi.org/10.21227/m4j2-ap59.",contains Padchest + ekstra
"COVID-19 Image Repository, German Medical School",2020,,,Hinrich et el.,https://figshare.com/articles/dataset/COVID-19_Image_Repository/12275009," Hinrich B. WintherHinrich B. Winther, Hans Laser, Svetlana Gerbel, Sabine K. Maschke, Jan B. Hinrichs, Jens Vogel-Claussen, Frank K. Wacker, Marius M. Höper, Bernhard C. Meyer",
Belarus dataset,,,,,,,original not there anymore
NIAID TB dataset,,,,,https://tbportals.niaid.nih.gov/download-data,,Only available by request
BRAX,2022,,,Reis et al.,https://physionet.org/content/brax/1.1.0/,"Reis, E. P., Paiva, J., Bueno da Silva, M. C., Sousa Ribeiro, G. A., Fornasiero Paiva, V., Bulgarelli, L., Lee, H., dos Santos, P. V., brito, v., Amaral, L., Beraldo, G., Haidar Filho, J. N., Teles, G., Szarf, G., Pollard, T., Johnson, A., Celi, L. A., & Amaro, E. (2022). BRAX, a Brazilian labeled chest X-ray dataset (version 1.1.0). PhysioNet. https://doi.org/10.13026/grwk-yh18.",
TBX,2014,,,Chauhan et al.,http://sourceforge.net/projects/tbxpredict/files/data/,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0112980,
COVID-19 Chest X-ray Images,,,,,https://data.mendeley.com/datasets/xztwjmktrg/3,,no source
COVID-19 chest XRay images,,,,M Amir Eshraghi · Mustafa Ghaderzadeh,https://datasetsearch.research.google.com/search?src=0&query=COVID-19%20chest%20XRay%20images%20M%20Amir%20Eshraghi&docid=L2cvMTFxOW42aDB4aw%3D%3D,,no source
Lung Diseases X-Rays (Grayscale),,,,Samuel15-6 and chembolu vaibhav,https://www.kaggle.com/datasets/samuel156/lungxrays-grayscale,,no source
RSNA CXR dataset:,,,,,,,Some also says this is a dataset but it consists of ChestX-ray8
Detecting-COVID-19-in-X-ray-images,,,,,https://github.com/smfai200/Detecting-COVID-19-in-X-ray-images,,
X-Ray Lung Image Dataset,,,,FERNANDO FELTRIN,https://www.kaggle.com/datasets/fernando2rad/x-ray-lung-diseases-images-9-classes,,no source
X-ray images three levels,,,,,https://figshare.com/articles/dataset/X-ray_images_three_levels/14755965/1,,
Chest x-ray disease images,,,,,https://www.kaggle.com/datasets/parsagouran/chest-xray-disease-images,,no source
Chest X-ray image,,,,,https://www.kaggle.com/datasets/muzin11/chest-xray-image/code,,no source
SIIM-ACR Pneumothorax Segmentation,,,,,https://www.kaggle.com/c/siim-acr-pneumothorax-segmentation,,
Chest X-Rays,,,,Professor Monjur Morshed (monjurm@aust.edu),https://www.kaggle.com/datasets/mansibmursalin/chest-xrays,,source only a professor
Chest X-Rays Dataset,,,,Yash Prakash,https://datasetsearch.research.google.com/search?src=0&query=%22Chest%20X-Rays%20Dataset%22%20Yash%20Prakash&docid=L2cvMTFxZ3diM244Xw%3D%3D,,no sourrce
Chest X-Rays - Covid19 Pakistan,,,,,https://data.mendeley.com/datasets/fvp7m8c9ss,,
CHEST-XRAY-COVID19PNEUMONIA,,,,DHIYA MAHDIYAH,,,no source
CHEST-XRAY-PNEUMONIA,,,,Anubhav Saha and Yateendra Mishra,https://ieee-dataport.org/documents/chest-xray-pneumonia#files,,
COVID-19 AND NORMAL CHEST X-RAY,,,,Happy Monday,https://ieee-dataport.org/open-access/covid-19-and-normal-chest-x-ray,,
covid-19 chest x-ray detection dataset,,,,Rahul Makwana,https://www.kaggle.com/datasets/rahulmakwana/covid19-chest-xray-detection-dataset,,no source
COVID-19 Chest X-Ray Image Repository,,,,MD. ZABIRUL ISLAM,https://www.kaggle.com/datasets/mdzabirulislam/covid19-chest-xray-image-repository,,no source
The Stony Brook University COVID-19 Dataset on TCIA,,,,,https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=89096912,,
Covid-19-and-Normal-Xray,,,,MURAT ALTUNOK,https://www.kaggle.com/datasets/muraterzurum/covid19-veri-seti,"Saltz, J., Saltz, M., Prasanna, P., Moffitt, R., Hajagos, J., Bremer, E., Balsamo, J., & Kurc, T. (2021). Stony Brook University COVID-19 Positive Cases [Data set]. The Cancer Imaging Archive. https://doi.org/10.7937/TCIA.BBAG-2923",no source
Covid19-Pneumonia-Normal Chest X-Ray Images,,,,Sachin Kumar,https://data.mendeley.com/datasets/dvntn9yhd2,,
CXR Sample for Diagnosis,,,,ANTARIKSH ANUPAM,https://www.kaggle.com/datasets/antariksh0913/cxr-sample-for-diagnosis,,no source
Data for: GGAC: Multi-Relational Image Gated GCN with Attention Convolutional Binary Neural Tree for Identifying Disease with Chest X-rays,,,,Bing Yang,"https://drive.google.com/file/d/15fU5n7TYiQgzYwAY5sFO8wrfAJOpVUxn/view?usp=sharing, https://data.mendeley.com/datasets/4cb6vs55jm/1",,
Chest X ray for Pneumonia Detection,,,,SAKIB,,,no source
CovID-19 X-ray,,,,ÇAĞATAY BERKE ERDAŞ,https://www.kaggle.com/datasets/cagataybrk/covid19,,no source
COVID 19 Xray Image Dataset with Huge Samples,,,,SUVHRADIP GHOSH,https://www.kaggle.com/datasets/mr3suvhro/covid-19-xray-image-dataset-with-huge-samples,,no source
covid19 chest xray,,,,APPY PATEL,https://www.kaggle.com/aaryapatel/covid19-chest-xray,,no source
Covid-19 Xray images,,,,srikar,https://www.kaggle.com/datasets/akkinasrikar/covid19-xray-images,,no source
