Dataset used,"Include (0), Exclude (1), Duplicate (2)",Title,Dataset updated,Authors,Description,Content,Acknowledgements
,1,Radiologists and algorithm AUC with CIs.,"nov. 20, 2018",Pranav Rajpurkar; Jeremy Irvin; Robyn L. Ball; Kaylie Zhu; Brandon Yang; Hershel Mehta; Tony Duan; Daisy Ding; Aarti Bagul; Curtis P. Langlotz; Bhavik N. Patel; Kristen W. Yeom; Katie Shpanskaya; Francis G. Blankenberg; Jayne Seekins; Timothy J. Amrhein; David A. Mong; Safwan S. Halabi; Evan J. Zucker; Andrew Y. Ng; Matthew P. Lungren,,,
,2,Data from: REFLACX: Reports and eye-tracking data for localization of abnormalities in chest x-rays,"sep. 27, 2021",Ricardo Bigolin Lanfredi; Mingyuan Zhang; William Auffermann; Jessica Chan; Phuong-Anh Duong; Vivek Srikumar; Trafton Drew; Joyce Schroeder; Tolga Tasdizen,,,
,2,Data from: Smartphone-Captured Chest X-Ray Photographs,"sep. 27, 2020",Po-Chih Kuo; ChengChe Tsai; Diego M Lopez; Alexandros Karargyris; Tom Pollard; Alistair Johnson; Leo Anthony Celi,"Recent research has applied deep learning imaging techniques to detect pulmonary pathology in chest X-rays (CXR) and achieved performance comparable with radiologists on specific lung abnormalities. Industry has managed to deploy such artificial intelligence (AI) solutions in on mobile devices to help clinicians improve their workflow. However, the feasibility of applying these modern AI algorithms to CXR photographs has yet to be evaluated. In this project, 6,453 smartphone photographs were taken from the frontal-view CXR images from two publicly available databases, MIMIC-CXR and CheXpert. We constructed four derivative CXR photograph datasets (Photo-MMC, Photo-CXP, Photo-MED, and Photo-DEV) including photographs taken by several resident doctors and photographs taken with different devices.",,
,2,Evaluation results of DenseNet121 combined with different classifiers.,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,,,
,2,Evaluation results of ResNet50 combined with different classifiers.,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,Evaluation results of ResNet50 combined with different classifiers.,,
,2,Evaluation results of transfer learning methods.,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,,,
,2,Evaluation results of VGG16 combined with different classifiers.,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,,,
,2,Extensive COVID-19 X-Ray and CT Chest Images Dataset,"jun. 12, 2020",Walid El-Shafai,,,
,2,Generalized Image Embeddings for the MIMIC Chest X-Ray dataset,,,,,
,2,Images sample source.,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,,,
,2,Imbalanced Tuberculosis and Pneumonia dataset,"feb. 10, 2022",,,,
,2,Indiana University - Chest X-Rays (PNG Images),"jan. 8, 2019",,"1000 radiology reports for the chest x-ray images from the Indiana University hospital network. To identify images associated with the reports, use XML tag. More than one image could be associated with a report)",,
,2,Indiana University - Chest X-Rays (XML Reports),"dec. 9, 2018",,,,
,2,Labeled Optical Coherence Tomography (OCT),"nov. 2, 2022",Anirudh Cv,,,
,1,Chest X-Ray 14 Dataset with Lungs Cropped,"sep. 8, 2019",Suyog Jadhav,,,
,1,"Alignments conducted between the MV X-ray beam isocenter and the CBCT image-guidance system, and a comprehensive evaluation of the manual image matching accuracy.","feb. 24, 2016",Takeshi Kamomae; Hajime Monzen; Shinichi Nakayama; Rika Mizote; Yuuichi Oonishi; Soichiro Kaneshige; Takashi Sakamoto,,,
,1,[BEGINNER] Chest X-Ray Image Classification,"feb. 22, 2022",,,,
,2,Performance of the best method on other dataset [16].,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,,,
,1,Data from: X-Ray Image Dataset,"feb. 20, 2023",,,,
,1,Deep learning of chest X-rays can predict mechanical ventilation outcome in ICU-admitted COVID-19 patients,"Oct 11, 2022",,,,
,1,SPR X-Ray Age and Gender Dataset,,,,,
,1,V2 Balloon Detection Dataset,"jul. 7, 2022",,,,
India,2,Chest X-Ray Images (Pneumonia) with new class,"mar. 10, 2022",Ahmed Haytham,,,
,0,chestxray,"aug. 19, 2022",Ali Farajnia,,,
"India, COVID-19 image data collection",0,Augmented COVID-19 X-ray Images Dataset,"mar. 26, 2020",Ali Mohammad Alqudah,,,
"Labeled Optical Coherence Tomography (OCT) and Chest X-Ray Images for Classification, COVID-19 image data collection, Detecting-COVID-19-in-X-ray-images",0,COVID-19 Chest X-ray Image Dataset,"sep. 20, 2020",Alif Rahman,,,
MIMIC-CXR,0,MIMIC-CXR Dataset,,Alistair E. W. Johnson; Tom J. Pollard; Nathaniel R. Greenbaum; Matthew P. Lungren; Chih-ying Deng; Yifan Peng; Zhiyong Lu; Roger G. Mark; Seth J. Berkowitz; Steven Horng,"MIMIC-CXR from Massachusetts Institute of Technology presents 371,920 chest X-rays associated with 227,943 imaging studies from 65,079 patients. The studies were performed at Beth Israel Deaconess Medical Center in Boston, MA.",,
,2,MIMIC-CXR Database,"sep. 19, 2019",Alistair Johnson; Tom Pollard; Roger Mark; Seth Berkowitz; Steven Horng,,,
"COVIDx dataset, COVID-19 image data collection, SIRM, India, ChestX-ray14",0,"COVID19, Pneumonia and Normal Chest X-ray PA Dataset","mar. 23, 2021",Amanullah Asraf,,,
ChestX-ray 14,0,Automated detection of moderate and large pneumothorax on frontal chest X-rays using deep convolutional neural networks: A retrospective study,"nov. 20, 2018",Andrew G. Taylor; Clinton Mielke; John Mongan,,,
COVID-19 image data collection,0,COVIDx CXR-2,"jun. 2, 2022",Andy Zhao,,,
CXR Sample for Diagnosis,0,CXR Sample for Diagnosis,"jul. 31, 2020",Antariksh Anupam,,,
,0,chest-xray-pneumonia,"May 7, 2021",Anubhav Saha,"Medical Symptoms are sometimes very tricky to analyse in real time as it takes time for example, first to detect the symptoms then to perform some tests and finally coming to a solution. This process can be eliminated and lot of time can be saved by introducing the concept of Deep learning. CNNs create a network for extracting the features of a given image in order to evaluate the image based on the conditions required. This property of the CNN is used as a certain advantage in order to detect the symptoms based on the type of X-ray images provided.",,
SIRM,0,COVID-19 Chest X-Ray Image Repository,"feb. 2, 2022",Arman Haghanifar; Mahdiyar Molahasani Majdabadi; Seokbum Ko,,,
,2,Padchest dataset,"jan. 15, 2019",Aurelia Bustos; Antonio Pertusa; Jose María Salinas; Maria de la Iglesia Vayá,,,
Padchest,0,PadChest Dataset,"mar. 28, 2022",Aurelia Bustos; Antonio Pertusa; Jose-Maria Salinas; Maria de la Iglesia-Vayá,"PadChest is a labeled large-scale, high resolution chest x-ray dataset for the automated exploration of medical images along with their associated reports. This dataset includes more than 160,000 images obtained from 67,000 patients that were interpreted and reported by radiologists at Hospital San Juan Hospital (Spain) from 2009 to 2017, covering six different position views and additional information on image acquisition and patient demography. The reports were labeled with 174 different radiographic findings, 19 differential diagnoses and 104 anatomic locations organized as a hierarchical taxonomy and mapped onto standard Unified Medical Language System (UMLS) terminology. Of these reports, 27% were manually annotated by trained physicians and the remaining set was labeled using a supervised method based on a recurrent neural network with attention mechanisms. The labels generated were then validated in an independent test set achieving a 0.93 Micro-F1 score.",,
COVID-19 image data collection,0,COVID-19 chest xray,"May 15, 2020",bachir,,,
Data for: GGAC: Multi-Relational Image Gated GCN with Attention Convolutional Binary Neural Tree for Identifying Disease with Chest X-rays,0,Data for: GGAC: Multi-Relational Image Gated GCN with Attention Convolutional Binary Neural Tree for Identifying Disease with Chest X-rays,"jun. 12, 2021",Bing Yang,,,
,2,Unlabeled chest x-ray,"jun. 25, 2022",Bisrat Demissie,,,
,2,Data from: COVID-19 image data collection,"sep. 18, 2020",Charlie Craine,,,
India,0,Labeled Optical Coherence Tomography (OCT) and Chest X-Ray Images for Classification,"jan. 6, 2018",Daniel Kermany,"Dataset of validated OCT and Chest X-Ray images described and analyzed in ""Deep learning-based classification and referral of treatable human diseases"". The OCT Images are split into a training set and a testing set of independent patients. OCT Images are labeled as (disease)-(randomized patient ID)-(image number by this patient) and split into 4 directories: CNV, DME, DRUSEN, and NORMAL.",,
India,2,Large Dataset of Labeled Optical Coherence Tomography (OCT) and Chest X-Ray Images,"jun. 1, 2018",Daniel Kermany,,,
"ChestX-ray8, MC, SH",2,NIH xray dataset tfrec with labels,"jul. 5, 2022",Daniel Madmon,,,
CHEST-XRAY-COVID19PNEUMONIA,0,CHEST-XRAY-COVID19PNEUMONIA,"jul. 11, 2021",dhiya mahdiyah,,,
ChestX-ray 14,0,Biomedical applications of phase contrast x-ray imaging,"Oct 29, 2019",Dr Marcus Kitchen,,,
,2,VinBigData Chest X-ray Image and Yolo format label,"May 13, 2021",duy phong,,,
BRAX,0,"BRAX, a Brazilian labeled chest X-ray dataset","jan. 3, 2022",Eduardo Pontes Reis; Joselisa Paiva; Maria Carolina Bueno da Silva; Guilherme Alberto Sousa Ribeiro; Victor Fornasiero Paiva; Lucas Bulgarelli; Henrique Lee; Paulo Victor dos Santos; vanessa brito; Lucas Amaral; Gabriel Beraldo; Jorge Nebhan Haidar Filho; Gustavo Teles; Gilberto Szarf; Tom Pollard; Alistair Johnson; Leo Anthony Celi; Edson Amaro,,,
,2,VinBigDataDownsized2xCOCO,"jan. 17, 2021",Eric A. Scuccimarra,,,
,2,Curated COVID-19 Chest X-Ray Dataset,"mar. 25, 2022",Francis Jesmar Montalbo,,,
VinDR-CXR,0,VinDr-CXR: An open dataset of chest X-rays with radiologist annotations,"jun. 22, 2021",Ha Quy Nguyen; Hieu Huy Pham; le tuan linh; Minh Dao; lam khanh,"We describe here a dataset of more than 100,000 chest X-ray scans that were retrospectively collected from two major hospitals in Vietnam. Out of this raw data, we release 18,000 images that were manually annotated by a total of 17 experienced radiologists with 22 local labels of rectangles surrounding abnormalities and 6 global labels of suspected diseases. The released dataset is divided into a training set of 15,000 and a test set of 3,000. Each scan in the training set was independently labeled by 3 radiologists, while each scan in the test set was labeled by the consensus of 5 radiologists. All images are in DICOM format and the labels from training and test sets are made publicly available.",,
,1,The second national tuberculosis prevalence survey in Vietnam,"apr. 23, 2020",Hai Viet Nguyen; Edine W. Tiemersma; Hoa Binh Nguyen; Frank G. J. Cobelens; Alyssa Finlay; Philippe Glaziou; Cu Huy Dao; Veriko Mirtskhulava; Hung Van Nguyen; Huyen T. T. Pham; Ngoc T. T. Khieu; Petra de Haas; Nam Hoang Do; Phan Do Nguyen; Cong Van Cung; Nhung Viet Nguyen,,,
COVID-19 AND NORMAL CHEST X-RAY,0,COVID-19 AND Normal Chest x-ray,"May 23, 2021",Happy Monday,,,
COVID-19 Image Data Collection,0,Synthetic COVID-19 Chest X-ray Dataset,"jun. 16, 2021",Hasib Zunair; A. Ben Hamza,,,
,2,Synthetic COVID-19 CXR Dataset Dataset,"Oct 19, 2020",Hasib Zunair; A. Ben Hamza,,,
Chest X-Rays - Covid19 Pakistan,0,Chest X-rays of COVID-19 Pandemic Infected Patients,"jul. 29, 2020",Hassaan Malik,"The dataset contains the chest X-rays of COVID-19 pandemic infected patients from Pakistan. All images was obtained with the help Government General Hospital Ghulam Muhammad Abad, Faisalabad, Pakistan, from April 1, 2020 to May 30,2020. All X-rays were captured from frontal view in jpeg format.",,
VinDr-PCXR,0,"VinDr-PCXR: An open, large-scale pediatric chest X-ray dataset for interpretation of common thoracic diseases","mar. 21, 2022",Hieu Huy Pham; Tien Thanh Tran; Ha Quy Nguyen,Unais Sait,,
Chest X-ray image,0,Chest X-ray image,"jun. 29, 2020",Ji-Yul Kim,,,
COVID-19 image data collection,0,Data from: COVID-19 Image Data Collection Dataset,,Joseph Paul Cohen; Paul Morrison; Lan Dao,,,
MIMIC-CXR dataset,0,Chest ImaGenome Dataset,"jul. 13, 2021",Joy Wu; Nkechinyere Agu; Ismini Lourentzou; Arjun Sharma; Joseph Paguio; Jasper Seth Yao; Edward Christopher Dee; William Mitchell; Satyananda Kashyap; Andrea Giovannini; Leo Anthony Celi; Tanveer Syeda-Mahmood; Mehdi Moradi,,,
"India, MC, SH, Belarus, NIAID TB dataset, ChestX-ray14, COVIDx dataset, COVID-19 image data collection",0,"Chest X-Ray (Pneumonia,Covid-19,Tuberculosis)","sep. 16, 2021",JtiptJ,,,
"JRST, PadChest, Chestx-ray14, Indiana",0,NODE21,"apr. 28, 2021",Keelin Murphy; Bram van Ginneken; Ecem Sogancioglu,,,
ChestX-ray14,2,NIH Chest X ray 14 (224x224 resized),"jul. 8, 2020",Khan Fashee Monowar (Sawrup),,,
"SIRM, BIMCV-COVID19+, COVID-19 image data collection",0,Data from: Computer-Aided diagnostic for classifying Chest X-Ray Images Using Deep Ensemble Learning,"jun. 13, 2022",Lara Visuña,,,
India,2,Pediatric Pneumonia Chest X-ray,"mar. 18, 2020",Larxel,"Kermany D, Goldbaum M, Cai W et al. Identifying Medical Diagnoses and Treatable Diseases by Image-Based Deep Learning. Cell. 2018; 172(5):1122-1131. doi:10.1016/j.cell.2018.02.010",,
"India, COVID-19 image data collection, COVIDx dataset, SIRM, ChestX-ray8, CheXpert",0,COVID Chest X-Ray Image Dataset,"jul. 31, 2022",Latiful Joy,,,
COVIDx dataset,0,COVIDx Dataset,,Linda Wang; Alexander Wong,"An open access benchmark dataset comprising of 13,975 CXR images across 13,870 patient cases, with the largest number of publicly available COVID-19 positive cases to the best of the authors' knowledge.",,
"BIMCV-COVID19+, COVID-19 image data collection, ChestX-ray8, India, CheXpert, COVID-19 Image Repository, German Medical School, CovID-19 X-ray, COVID 19 Xray Image Dataset with Huge Samples, covid19 chest xray, Covid-19 Xray images, SIRM",0,Data from: Curated Dataset for COVID-19 Posterior-Anterior Chest Radiography Images (X-Rays).,"dec. 6, 2022",Unais Sait,,,
"COVID-19 image data collection, India",0,Extensive and Augmented COVID-19 X-Ray and CT Chest Images Dataset,"jun. 5, 2020",Walid El-Shafai,"This COVID-19 dataset consists of Non-COVID and COVID cases of both X-ray and CT images. The associated dataset is augmented with different augmentation techniques to generate about 17100 X-ray and CT images. The dataset contains two main folders, one for the X-ray images, which includes two separate sub-folders of 5500 Non-COVID images and 4045 COVID images. The other folder contains the CT images. It includes two separate sub-folders of 2628 Non-COVID images and 5427 COVID images.",,
"COVID-19 image data collection, COVIDx dataset",0,Evaluation results of Xception combined with different classifiers.,"nov. 17, 2020",Dingding Wang; Jiaqing Mo; Gang Zhou; Liang Xu; Yajun Liu,,,
Lung Diseases X-Rays (Grayscale),0,Lung Diseases X-Rays (Grayscale),"dec. 21, 2022",,,,
ChestX-ray14,2,NIH Chest X-rays TFREC384 study may 2020,"jan. 23, 2021",Luigi Saetta,,,
"COVID-19 image data collection, BIMCV-COVID19+, SIRM, India, COVID-19 Image Repository, German Medical School",0,Novel COVID-19 Chestxray Repository Dataset,"sep. 8, 2021",,,,
India,0,Pediatric Chest X-ray Pneumonia (Bacterial vs Viral vs Normal) Datas,"mar. 9, 2020","Kermany, Daniel S. et al.",,,
JSRT,0,X-ray Bone Shadow Supression,"Oct 23, 2018",Minh-Chuong Huynh,,,
ChestX-ray14,2,NIH Chest X-Rays TFREC512 Pneumonia,"jan. 5, 2021",Luigi Saetta,,,
COVID-19 chest XRay images,0,COVID-19 chest XRay images,"Oct 27, 2021",M Amir Eshraghi,,,
"India, COVID-19 image data collection",0,"Chest X-ray images with three classes: COVID-19, Normal, and Pneumonia","jun. 9, 2020",Mahmoud Shams,Dataset name Normal COVID-19 Pneumonia Total MOMA- Dataset 234 221 148 603,,
,2,Tutorial 5 COVID-19 Chest X-ray images,"mar. 27, 2020",Maik Herbig,,,
Chest X-Rays,0,Chest X-Rays,"jun. 8, 2022",Mansib Mursalin,,,
"India, COVID-19 image data collection,",0,COVID CXR Image Dataset (Research),"jul. 19, 2021",Manu Siddhartha,,,
COVID-19 Chest X-Ray Image Repository,0,COVID-19 Chest X-Ray Image Repository,"jul. 11, 2020",Md. Zabirul Islam,,,
"MC, SH, TBX",0,TBX 11,"jun. 14, 2021",Mohammad Usman,,,
,2,X-Ray Image Dataset For #COVID-19 Detection (A),"mar. 22, 2022",Mohammed Ali-11,,,
"BIMCV-COVID19+, SIRM, COVID-19 image data collection, India, COVID-19 Image Repository, German Medical School, ChestX-ray8",0,COVID-19 Pakistani Patients X-ray Image Dataset,"May 21, 2022",Muhammad Shahbaz Khan,,,
Covid-19-and-Normal-Xray,0,Covid-19-and-Normal-Xray,"jun. 12, 2022",Murat Altunok,,,
"SIRM, ",0,Covid19 Chest Xray Dataset,"dec. 26, 2022",Mustafa Algun,"The dataset is organized into 3 folders - covid - pneumonia - normal and metadata.csv which contain chest X-ray posteroanterior (PA) images. X-ray samples of COVID-19 were retrieved from different sources for the unavailability of a large specific dataset. First, 613 X-ray images of COVID-19 cases were collected from the following websites: GitHub, Radiopaedia, The Cancer Imaging Archive (TCIA), and the Italian Society of Radiology (SIRM). Then, instead of data being independently augmented, a dataset containing 912 already augmented images was collected from Mendeley. Finally, 1525 images of pneumonia cases and 1525 X-ray images of normal cases were collected from the Kaggle repository and NIH dataset. A total of 4575 samples were used in the experiment, where 1525 samples were used for each case.",,
"ChestX-ray8, COVID-19 image data collection, MC",0,CPCXR Dataset,"apr. 22, 2020",Narinder Singh Punn; Sonali Agarwal,,,
,0,COVID-19 Chest X-ray Images,"jan. 17, 2022",Natheer Khasawneh,"368 Chest X-ray Images taken from confirmed COVID-19 subjects, which were admitted to hospital due to COVID-19 respiratory complications.",,
"ChestX-ray8, MC, SH",2,NIHCC Chest X-Ray,"mar. 18, 2020",Neil Turley,,,
"ChestX-ray8, MC, SH",2,NIH Chest X-rays TFRecords,"mar. 9, 2021",Nick Kuzmenkov,,,
"India, COVID-19 image data collection, Belarus, MC, SH, NIAID TB dataset, chestX-ray8, SIRM",0,Lungs Disease Dataset (4 types),"jan. 14, 2022",Omkar Manohar Dalvi,,,
Chest x-ray disease images,0,Chest x-ray disease images,"jan. 2, 2023",Parsa Gouran,,,
India,0,Chest X-Ray Images (Pneumonia),"mar. 24, 2018",Paul Mooney,,,
"COVID-19 image data collection, India, COVIDx dataset",0,Chest X-ray (Covid-19 & Pneumonia),"sep. 17, 2020",Prashant Patel,,,
COVID-19 image data collection,0,CoronaHack -Chest X-Ray-Datase,"mar. 20, 2020",Praveen,,,
"Padchest, SIRM, COVID-19 image data collection, ChestX-ray8, India",0,COVID-19 Radiography Dataset,"May 22, 2021",Preet Viradiya,,,
covid-19 chest x-ray detection dataset,0,covid-19 chest x-ray detection dataset,"jul. 12, 2020",Rahul Makwana,,,
ChestX-ray8,0,Chest X-ray8,"aug. 22, 2022",Redivis Demo Organization,,,
Covid19-Pneumonia-Normal Chest X-Ray Images,0,Covid19-Pneumonia-Normal Chest X-Ray Images,"jun. 14, 2022",Sachin Kumar,"It is a medical images directory structure branched into 3 subfolders (COVID, NORMAL, PNEUMONIA) containing Chest X-ray (CXR) Images.",,
Data from: Chest X ray for Pneumonia Detection,0,Data from: Chest X ray for Pneumonia Detection,"jul. 27, 2020",Sakib,,,
"SH, MC",0,Chest X-Ray with Masks for Image Segmentation,"May 21, 2020",Shadab,"MOMA Dataset are collected from three resources, in the following links [1]  https://github.com/smfai200/Detecting-COVID-19-in-X-ray-images/tree/master/dataset. Accessed at 19/4/2020 2.10 am. [2] https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia?fbclid=IwAR2jzVPSL8-MdEX8_DlFVrN EKJlu0nOUSlaKOxa4kOitv4RPeemEDRqL2E accessed at 27/4/2020 10.20 am. [3]  https://www.kaggle.com/bachrr/covid-chest-xray?fbclid=IwAR2kbLc1R3zqeC9lnBTAv5_lSB6XKVNGQlnilvH7uTI-M1rHGjJxYNLRb0kaccessed at 27/4/2020 11.30 am.",,
COVID-19 image data collection,0,COVID-19 X-Ray Dataset With Preprocessed Images,"jul. 10, 2020",Shreyansh Gupta,,,
"India, MC, SH, Belarus, NIAID TB dataset, ChestX-ray14, COVIDx dataset, COVID-19 image data collection",0,Chest X-Ray dataset,"Oct 13, 2022",ShubhamPatel07,,,
CANDID-PTX,0,CANDID-II Dataset,"Oct 6, 2022",Sijing Feng; Martin Urschler,,,
"COVID-19 image data collection, India",0,COVID 19 XRay and CT Scan Image,"jan. 3, 2021",Suman Sarkar,,,
ChestX-ray14,2,NIH Chest X-rays 600 JPG Dataset,"mar. 15, 2021",Sunghyun Jun,Sunghyun Jun,,
,2,VinBigData 1024 JPG Dataset,"feb. 15, 2021",Sunghyun Jun,,,
,2,COVID-19 and Pneumonia Chest X-Rays Dataset,"nov. 6, 2021",tareklel,,,
,2,COVID-19 Radiography Database,"mar. 19, 2022",Tawsifur Rahman,,,
"MC, SH, Belarus, NIAID TB dataset, ChestX-ray14",0,Tuberculosis (TB) Chest X-ray Database,"jun. 14, 2021",Tawsifur Rahman,,,
India,0,Chest X-Ray Images,"apr. 22, 2021",UJ-T,,,
,2,Curated Chest X-Ray Image Dataset for COVID-19,"nov. 9, 2020",Unais Sait,,,
,2,Curated Dataset for COVID-19 Posterior-Anterior Chest Radiography Images (X-Rays).,"sep. 14, 2020",Unais Sait,,,
"MC, SH, COVID-19 image data collection, India",0,Chest X-ray dataset for lung segmentation,"Oct 3, 2022",Viacheslav Danilov,"The proposed dataset has been combined from three popular lung segmentation datasets: Darwin, Montgomery, and Shenzhen. The combined data allow researchers and clinicians to gain access to a good quality dataset, a large proportion of which has been manually annotated. The combined dataset consists of 6,810 images, with corresponding binary masks of lungs with the following distribution of images between the three datasets: • 6,106 images from the Darwin dataset; • 139 images from the Montgomery dataset; • 566 images from the Shenzhen dataset.",,
not available,1,PTX-227: A dataset with 227 pneumothorax chest X-ray images,"Oct 20, 2020","Wang, Yunpeng","Pneumothorax is a common medical emergency defined as the abnormal collection of air in the pleural space between the lung and chest wall. Its typical symptoms include chest pain and dyspnea, leading to oxygen deficiency or even life-threatening in severe cases. Therefore, an efficient and automatic pneumothorax diagnosis algorithm would be useful in many clinical scenarios. Recently, deep learning methods have achieved impressive progress in medical image segmentation tasks. However, large-scale dataset is one of the critical components for the success of deep learning. On the other hand, there are few public chest X-ray images with pneumothorax.",,
